"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SRSF5",-0.13453517080879,13.3365735063654,-0.459390231916542,0.652020378300264,0.789712320681042,-6.16443749817054
"TMEM62",-0.0868682553005224,9.2923700409311,-0.459387425559042,0.652022351186607,0.789712320681042,-6.16443880115062
"RP4-569M23.5",0.311893321784387,2.11884935607194,0.459345541343828,0.652051796360616,0.789712320681042,-6.16445824689608
"RP11-365O16.3",0.247156382412054,3.38083797728114,0.458773661867208,0.652453894789645,0.790150435108273,-6.16472358289053
"CTA-313A17.3",0.138634449501305,4.43090386631669,0.458597994767715,0.65257743159002,0.790150435108273,-6.16480502287422
"FAM200A",-0.0882107592844398,7.20489141982877,-0.458593265731666,0.652580757399514,0.790150435108273,-6.16480721485487
"HDAC6",0.0992285330971664,10.9452024148266,0.458559212913478,0.652604706094359,0.790150435108273,-6.16482299820791
"CBX5",0.084676086035434,10.9744016970707,0.458501135306692,0.652645551866948,0.790150435108273,-6.16484991432726
"FAM212B",0.194625769405841,7.95466379146955,0.458492637433986,0.652651528485932,0.790150435108273,-6.16485385239567
"GDF15",-0.270705261807932,9.23287575599457,-0.45849061751985,0.65265294911061,0.790150435108273,-6.16485478845008
"RP11-566E18.1",0.142939984159498,5.18518060119278,0.45845458518772,0.652678291221534,0.790150435108273,-6.16487148562551
"OPLAH",-0.127897152540229,8.05288078394609,-0.458289480287723,0.652794417727099,0.790228803635848,-6.16494797794595
"CTDSPL2",-0.0938656237775446,10.0296738775146,-0.458260897650754,0.652814522255376,0.790228803635848,-6.16496121742259
"EI24P2",-0.090721649597738,3.60161284241281,-0.458221383002532,0.652842316624104,0.790228803635848,-6.16497951928247
"RP11-80H8.4",0.159938587570164,2.78288448848127,0.458146891274838,0.652894715096747,0.790252165550539,-6.16501401717365
"RERG-IT1",-0.257807219414506,0.710498039711428,-0.458061165508845,0.652955018060491,0.790285092067334,-6.16505371090589
"FOXO3B",-0.194085730188461,6.63214429689272,-0.458010495431322,0.652990662604884,0.790288172159073,-6.16507716934835
"CTB-12O2.1",0.250386302314097,2.7076330125773,0.457835428229844,0.653113822642237,0.790397163029351,-6.16515819978471
"ZNF511",-0.0932609281537161,8.04883089860722,-0.457780166522818,0.653152701483731,0.790404151070733,-6.16518377158598
"ZNF812P",0.209133796703091,6.58262686273665,0.457698266647705,0.65321032324727,0.790433818754843,-6.16522166440456
"DGUOK",-0.100104120868074,9.70604828650236,-0.457496398965305,0.653352359646621,0.79056562633908,-6.16531503483634
"FBXO27",-0.332574428962301,6.16523583588314,-0.457377860660243,0.653435770953743,0.790626486965569,-6.16536984400367
"RBBP4P2",-0.127628608094736,4.14010596192321,-0.457249896202211,0.653525820438068,0.790695372898516,-6.16542899606608
